name,city,rating,review_count,address,phone,url
Boojum,Dublin,4.3,192,"Millennium Walkway North City, 1 Republic of Ireland",+35318729499,https://www.yelp.com/biz/boojum-north-city?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
El Grito Mexican Taqueria,Dublin,4.5,56,"20 Mountjoy Square E Mountjoy, 1 Republic of Ireland",+35315584717,https://www.yelp.com/biz/el-grito-mexican-taqueria-mountjoy?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Boojum,Dublin,4.4,78,College Court Kevin Street Lower Dublin 8 Republic of Ireland,+35318090077,https://www.yelp.com/biz/boojum-dublin-5?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Pablo Picante,Dublin,4.0,93,Clarendon Market Dublin 2 Republic of Ireland,+35316334245,https://www.yelp.com/biz/pablo-picante-dublin-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Burritos & Blues,Dublin,3.8,95,2 Wexford Street Dublin 2 Republic of Ireland,+353863000500,https://www.yelp.com/biz/burritos-and-blues-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Pablo Picante,Dublin,3.5,47,14 Aston Quay Dublin 2 Republic of Ireland,+35316799305,https://www.yelp.com/biz/pablo-picante-dublin-5?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Little Ass Burrito Bar,Dublin,4.1,20,"10 Rathgar Road Rathmines Rathgar, 6 Republic of Ireland",+35314967714,https://www.yelp.com/biz/little-ass-burrito-bar-rathgar?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
The Hungry Mexican,Dublin,3.8,24,5 Aston Quay Temple Bar Dublin 2 Republic of Ireland,+353894502305,https://www.yelp.com/biz/the-hungry-mexican-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Saburritos,Dublin,2.9,8,17 Dame Street Dublin 2 Republic of Ireland,+35318728527,https://www.yelp.com/biz/saburritos-dublin-4?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Tolteca,Dublin,3.2,67,21 Suffolk Street Dublin 2 Republic of Ireland,+35316779506,https://www.yelp.com/biz/tolteca-dublin-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
El Patron,Dublin,4.1,9,4 King Street N Dublin 1 Republic of Ireland,+35318747219,https://www.yelp.com/biz/el-patron-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Cafe Azteca,Dublin,4.3,150,Dublin Republic of Ireland,,https://www.yelp.com/biz/cafe-azteca-dublin-3?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
The Boxty House,Dublin,4.3,1210,20-21 Temple Bar Dublin 2 Republic of Ireland,+35316772762,https://www.yelp.com/biz/the-boxty-house-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Boojum,Dublin,3.7,12,3 Abbey Street Lower Dublin Republic of Ireland,+35318747237,https://www.yelp.com/biz/boojum-dublin-6?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Mama's Revenge,Dublin,3.8,74,12 Leinster Street S Dublin 2 Republic of Ireland,+35316619289,https://www.yelp.com/biz/mamas-revenge-dublin?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Pablo Picante,Dublin,3.7,68,131 Baggot Street Dublin 2 Republic of Ireland,+35316629773,https://www.yelp.com/biz/pablo-picante-dublin-6?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
