"place_id","name","rating","review_count","price_level","address","phone_number","latitude","longitude","business_status"
"ChIJtfjsDFcIYUgRAifcs0oqxGE","La Taqueria Castle Street","4.6","703","2","53 Castle St, Belfast","+44 7748 786654","54.59923629999999","-5.9324546","OPERATIONAL"
"ChIJCfrjj_8IYUgR-t0MUNFoJOo","El Habanero","5","21",,"May St, Belfast",,"54.59568549999999","-5.9218421","OPERATIONAL"
"ChIJxaB9nvUJYUgR79icNj3-c2o","Tortilla Belfast","4.6","1052","1","9 Arthur Square, Belfast","+44 28 9002 3837","54.59849699999999","-5.9275215","OPERATIONAL"
"ChIJhz79zLgJYUgRFhqw5UlhMYs","Taquitos","4.8","402",,"Donegall Quay, Belfast, Antrim","+44 7496 351614","54.6012681","-5.9219916","OPERATIONAL"
"ChIJtx0yygQHYUgRSG2IICEceIg","Urban Fire","4.6","341",,"Dunmurry Dairyfarm shopping centre, Belfast","+44 28 9049 0874","54.55979929999999","-6.0198409","OPERATIONAL"
"ChIJ0aPeQwMJYUgRQoGzmD1DdrA","Common Market","4.3","988",,"Common Market, 16-20 Dunbar St, Belfast",,"54.60244849999999","-5.9262255","OPERATIONAL"
"ChIJkS5ucAAJYUgRgimxs4vQNPo","La Taqueria Ormeau","4.4","564","2","274, 276 Ormeau Rd, Ormeau, Belfast","+44 28 9064 4477","54.57722560000001","-5.918057900000001","OPERATIONAL"
"ChIJRapP-vcIYUgRrOFbKtrN86M","Boojum - Great Victoria Street","4.4","1515","1","14-16 Great Victoria St, Belfast","+44 28 9023 3200","54.5954787","-5.9342356","OPERATIONAL"
"ChIJ5-30evAIYUgRscjRUYUUAE4","Boojum - Botanic Avenue","4.4","2326","1","67-69 Botanic Ave, Belfast","+44 28 9031 5334","54.58730629999999","-5.9328392","OPERATIONAL"
"ChIJScLltFUIYUgRaYlzBSm_Xyc","Boojum - Victoria Square","4.3","1007",,"4 Victoria Square, Belfast","+44 28 9033 2299","54.59903749999999","-5.9252512","OPERATIONAL"
"ChIJQzBIkv8IYUgRp4TfEZ_aeSk","Med-Mex","5","23",,"49/81 Oxford St, Belfast","+44 7876 111234","54.5957638","-5.921522599999999","OPERATIONAL"
"ChIJNYwaid8HYUgRFC5VayPXEjQ","Bad Boyz Burritos","4.4","100",,"79 Glen Rd, Andersonstown, Belfast","+44 28 9013 9449","54.5830908","-5.985601","OPERATIONAL"
"ChIJ97CLWiwJYUgRJjt6wirdiPc","Stereo","4.7","221","2","18 Cregagh Rd, Belfast",,"54.5855092","-5.899177","OPERATIONAL"
"ChIJq6p-5ZYIYUgRCCuuaopl6gA","Boojum - Lisburn Road","4.4","1244","1","509-511 Lisburn Rd, Belfast","+44 28 9029 0969","54.5765004","-5.954192099999999","OPERATIONAL"
"ChIJiZx3TlQIYUgRi3qoxXbH3-o","Bootleggers","4.4","2717","2","46 Church Ln, Belfast","+44 28 9023 3282","54.59942539999999","-5.9248907","OPERATIONAL"
"ChIJuYr72vEIYUgRQf0vuI8seBA","the pocket","4.6","1291","2","68 Upper Church Ln, Belfast",,"54.5987993","-5.9243859","OPERATIONAL"
"ChIJ1x5R1yIGYUgRPrNAs8hokZY","The Burrito Bar","4.5","195",,"118 Andersonstown Rd, Belfast","+44 28 9030 1257","54.5737416","-5.9867174","OPERATIONAL"
"ChIJ_TLHQkwIYUgR2j5pRtKtGE8","West Gourmet Sandwiches","4.8","192",,"City Business Park, Unit 41 North, Duncairn Gardens, Belfast","+44 28 9543 5816","54.612548","-5.9285691","OPERATIONAL"
"ChIJO0uNSIgIYUgRkQ3MVIN5MQE","Little Mexican Deli","4.6","352",,"Dairyfarm Shopping Centre, Belfast","+44 28 9060 3012","54.5605926","-6.021265","OPERATIONAL"
"ChIJQ-PG3hmeYUgR1yuNjQO0PYE","Bebe Adrianos Mexicanos","4.3","240",,"9-11 High St, Bangor","+44 28 9147 9988","54.6636722","-5.666685500000001","OPERATIONAL"
