"place_id","name","rating","review_count","price_level","address","phone_number","latitude","longitude","business_status"
"ChIJYczaQt4PZ0gRsN10i1TxJk8","El Grito Mexican Taqueria Mountjoy Square","4.5","3562","1","20 Mountjoy Square E, Mountjoy, Dublin","+353 1 548 6410","53.3573937","-6.2566582","OPERATIONAL"
"ChIJnQZz4IoPZ0gR1gaZGzDmaRU","Kalabasa Market","4.8","8716",,"60-61 Middle Abbey St, North City, Dublin 1","+353 1 568 6218","53.3480637","-6.2616815","OPERATIONAL"
"ChIJPR5nTW8JZ0gRSnOrbm98X-4","Zambrero Dundrum","4.4","230",,"Zambrero Food Hall Level 3 Dundrum Town Centre, Sandyford Rd, Dundrum, Dublin 16","+353 1 293 9932","53.28753949999999","-6.2430457","OPERATIONAL"
"ChIJ6WpENLUPZ0gRS6ZNbzbWj5o","Papi Chulo","4.8","71",,"Unit 4, Block C, Point campus, North Wall, Dublin","+353 1 963 1997","53.3486626","-6.2295974","OPERATIONAL"
"ChIJKe-NEAAPZ0gRd3-OKz0j1HE","El Grito Mexican Taqueria","4","33",,"125 Abbey Street Upper, North City, Dublin",,"53.3481769","-6.2653992","OPERATIONAL"
"ChIJK9sQpKcPZ0gRfJOFxAWDu6Q","Pickosito Northern Mexican Taqueria","4.8","785",,"Upstairs, 62 Mary St, North City, Dublin 1","+353 1 515 9600","53.3486175","-6.2683569","OPERATIONAL"
"ChIJISjK0PEMZ0gRXSUe9CZSQbc","Acapulco Mexican Restaurant","4.2","1607","2","7 South Great George's Street, Dublin 2",,"53.3436157","-6.2642696","OPERATIONAL"
"ChIJYUaj-VMNZ0gRO6ir3oQMcNo","AGAVE DUBLIN","4.5","722",,"19-22 Lord Edward St, Dublin 2","+353 1 670 9476","53.343717","-6.2689777","OPERATIONAL"
"ChIJ74xUB7oNZ0gRG_MRUKYaY0c","El Grito Mexican Taqueria","4.3","438","2","137 Rathmines Rd Lower, Rathmines, Dublin","+353 1 441 8534","53.3255025","-6.265261499999999","OPERATIONAL"
"ChIJiyHHd14PZ0gRqRhbEmoJJNI","Tula Mexican Grill","5","10",,"49 Shelbourne Rd, Ballsbridge, Dublin 4","+353 1 538 3195","53.3303781","-6.2320601","OPERATIONAL"
"ChIJZ42n568OZ0gRDTFSbUhoaWg","Parrilla Ranelagh","4.6","264",,"7-9 Sandford Rd, Ranelagh, Dublin 6","+353 1 230 8584","53.3231985","-6.2497661","OPERATIONAL"
"ChIJwbH_l6kJZ0gRCef5zCHTOoI","Zambrero","4","162",,"Unit 41/42, Blackrock Village Centre, Rock Hill, Blackrock, Dublin","+353 87 166 9362","53.3017331","-6.1805783","OPERATIONAL"
"ChIJzYpzHZ0OZ0gR3vqlQXf850Q","777","4.1","1873","3","Castle House, 7 South Great George's Street, Dublin 2","+353 1 425 4052","53.3433374","-6.2645578","OPERATIONAL"
