"place_id","name","rating","review_count","price_level","address","phone_number","latitude","longitude","business_status"
"ChIJT48YCXmXW0gRCSNs373AlZE","Salsa","4.7","310",,"City Center, 40 Abbeygate Street Upper, Galway","+353 83 127 4457","53.2739357","-9.0530425","OPERATIONAL"
"ChIJX-sIPdiXW0gRCzciywHWyrY","Taquila","4.6","272",,"Eglinton Court, Eglinton St, 6/7, Galway","+353 91 450 000","53.274852","-9.052844","OPERATIONAL"
"ChIJW7yqnNKXW0gR-XTPD2kd1q4","Vocho","4.2","580",,"19 Forster St, Galway","+353 91 330 520","53.2746702","-9.0472176","OPERATIONAL"
"ChIJAVOEVOWWW0gRxh7iPK_9KlY","The Chili Shack Galway","4.5","635","1","19 Abbeygate Street Upper, Galway","+353 91 561 783","53.2737661","-9.053170399999999","OPERATIONAL"
"ChIJ_SyCktqXW0gR-Yy9yDDJP4M","Zambrero Newcastle Road","4.1","168",,"Unit 3, Newcastle Rd, Galway","+353 91 863 763","53.2754473","-9.0632138","OPERATIONAL"
"ChIJE3lyCcKXW0gRjDYpyvuwx-E","Elephant & Castle Galway","4.1","225",,"80 Prospect Hill, Centre, Galway","+353 91 749 212","53.2770763","-9.046754399999999","OPERATIONAL"
"ChIJFwr3T-WWW0gRAajl9b4l_wA","Tuco's Taqueria","4.4","1055","1","6 Abbeygate Street Upper, Galway","+353 91 563 925","53.2733748","-9.052316599999999","OPERATIONAL"
"ChIJzx3c4TCXW0gRLpAwxp6iTJw","Zambrero Headford Road","4.5","43",,"Galway Shopping Centre, Headford Rd, Galway","+353 91 339 423","53.2797424","-9.0489462","OPERATIONAL"
"ChIJeZdqRPuWW0gR2Ij9fstkElY","Boojum - Galway","4.4","1866","1","1 Spanish Parade, Galway","+353 91 568 451","53.2702869","-9.0537245","OPERATIONAL"
"ChIJ94lRzbSRW0gR-Yk8uy8d_ek","Banditos Galway","4.6","295","1","Main St, Innplot, Oranmore","+353 91 795 500","53.2691848","-8.928963900000001","OPERATIONAL"
"ChIJ_V1h7sWWW0gRxREWpgYEa-k","Londis Wellpark Galway","4.1","147","2","10 Old Dublin Rd, Galway","+353 91 735 146","53.2803192","-9.0262613","OPERATIONAL"
"ChIJM3hb3bGXW0gRgennKIwHl1s","Chopped","4.4","23","2","Londis Well Park, Old Dublin Rd, Galway","+353 91 735 146","53.2804082","-9.026417799999999","OPERATIONAL"
"ChIJrTWfxPqWW0gRA8TbGyFFg5U","Deelys Cafe","3.6","381","1","6 Mainguard St, Galway","+353 91 539 701","53.2720686","-9.053958399999999","OPERATIONAL"
"ChIJZb8Ia-GXW0gRhdn35FcFIAI","Sangria Tapas Restaurant","4.5","863","2","19 Middle St, Galway","+353 91 539 923","53.27200329999999","-9.0525783","OPERATIONAL"
"ChIJ-VfANKqXW0gR0WfcindIyeI","The Ardilaun Bistro","3.5","12",,"Taylor's Hill Rd, Galway","+353 91 521 433","53.2675735","-9.080873799999999","OPERATIONAL"
"ChIJg0TQxOeXW0gRc6VIdJUNJQo","Alma Restaurant","4.9","177",,"Unit 1, Lydon Court, Bóthar Irwin, Galway","+353 85 277 6918","53.2758917","-9.0496683","OPERATIONAL"
"ChIJx5Ex4tuXW0gRudwXkL1ZV_4","Munch Haven","4.6","168",,"30 Abbeygate Street Upper, Galway","+353 91 448 531","53.273958","-9.053506499999999","OPERATIONAL"
"ChIJzYui2vuWW0gRpwiGjsK2bu8","Deli La Tasca","4.4","238","2","1 Dominick St Upper, Galway","+353 85 108 2115","53.2702205","-9.058743","OPERATIONAL"
"ChIJrRvOee-WW0gRJx7u4kd6YE4","Supermac's & Papa John's Eyre Square","4","2812","1","Eyre Square, Galway","+353 91 566 555","53.2746901","-9.0509694","OPERATIONAL"
"ChIJEw1PGPeWW0gRt95B2MIjQAo","Jalan Jalan Galway","4.3","506",,"37 Newcastle Rd, Galway","+353 91 528 844","53.27541739999999","-9.0632398","OPERATIONAL"
"ChIJ97yG2fqWW0gRLZ62hm9TTjc","Sonny Molloy's","4.4","502","2","2 High St, Galway","+353 91 563 757","53.2716335","-9.053766","OPERATIONAL"
"ChIJ8aoCUOWWW0gRfQQEfgT5rUo","Jemi Lighthouse","4.7","464","2","8 Abbeygate Street Upper, Galway","+353 91 895 647","53.273483","-9.052454299999999","OPERATIONAL"
"ChIJV7EJf-WWW0gRt0EVdevhKFE","Skeffington Arms Hotel","4.5","1047",,"27 Eyre Square, Galway","+353 91 563 173","53.2741096","-9.0499308","OPERATIONAL"
"ChIJ8fnwlsqbW0gRP8RAof35s8A","Gigas Dinergrill Oranmore","4.7","138",,"Howley Court, Dublin Rd, Oran More, Oranmore","+353 91 777 888","53.2685739","-8.9290953","OPERATIONAL"
"ChIJe9eN9-WWW0gRAVctFRmKVKk","Park House Hotel","4.6","2415",,"18 Forster St, Eyre Square, Galway","+353 91 564 924","53.27473939999999","-9.0460387","OPERATIONAL"
"ChIJ_w3mFpWWW0gRAgV-t6-4Gt0","Menlo Park Hotel","4.4","2124",,"Headford Rd, Galway","+353 91 761 122","53.2879624","-9.0472967","OPERATIONAL"
"ChIJEcjck8aWW0gRZlXTqMJ_Ff8","Shake Dog Galway","4","1069","2","Wellpark Retail Centre, 12 Wellpark Rd, Galway","+353 91 767 401","53.2819894","-9.031469899999999","OPERATIONAL"
