"place_id","name","rating","review_count","price_level","address","phone_number","latitude","longitude","business_status"
"ChIJ6Xu9YvpBW0gRBYoUREOhwOQ","Republic of Grill","4.6","84",,"1 Wickham St, Prior's-Land, Limerick",,"52.66176369999999","-8.623289099999999","OPERATIONAL"
"ChIJxTB0zWdcW0gRpYu_LbLjQnc","Boojum - Limerick","4.3","1120","1","17-19 Patrick St, Prior's-Land, Limerick","+353 61 609 350","52.6645437","-8.625718899999999","OPERATIONAL"
"ChIJ-cIboU5fW0gRI708TnlpR1M","Zambrero Castletroy","4.1","96",,"Unit 3, Glenesk, Dublin Rd, Castletroy, Limerick","+353 61 550 037","52.6673671","-8.5579874","OPERATIONAL"
"ChIJC423he5dW0gRCrozO1v5oxI","Shake Dog Childers Road","4.5","157","2","Limerick One Retail Park, Childers Rd, Singland, Limerick","+353 61 544 443","52.6554725","-8.597257899999999","OPERATIONAL"
"ChIJT5uIvtNdW0gRH28Iq_qR8OY","Maggie Choo's","3.9","194",,"104 O'Connell St, Prior's-Land, Limerick","+353 61 597 164","52.66163969999999","-8.629298","OPERATIONAL"
"ChIJvVH1F2hcW0gRYTj0vu6iiao","The Locke Bar","4.6","5435","2","3 George's Quay, Englishtown, Limerick","+353 61 413 733","52.6672339","-8.623166599999999","OPERATIONAL"
"ChIJMygR8ttdW0gRqvocGsXHIyE","Zambrero Thomas Street","3.9","23",,"51 Thomas St, Prior's-Land, Limerick","+353 61 489 453","52.6627783","-8.6265322","OPERATIONAL"
"ChIJNY95e2ZcW0gRFWdZzt0vqtE","Coqbull Limerick","4.5","1631","2","50 Thomas St, Prior's-Land, Limerick","+353 61 311 011","52.6627225","-8.6264874","OPERATIONAL"
"ChIJuRqGdqNdW0gRfcW7Qk9Sxvs","Sambros","4.6","302",,"52 Thomas St, Prior's-Land, Limerick","+353 61 409 600","52.6627822","-8.626659399999999","OPERATIONAL"
"ChIJ8X-NIdJdW0gRSm7LOUjk3ds","MELODY","4.7","234",,"Foxes Bow, Prior's-Land, Limerick","+353 85 759 9754","52.66219419999999","-8.6236306","OPERATIONAL"
"ChIJC96AEAxGW0gRiLSJO8zB25Q","The Good Room Café","4.2","702","2","Church View, Adare","+353 61 396 218","52.56479479999999","-8.787111599999999","OPERATIONAL"
"ChIJd0pxmmZcW0gRljF4RhkyAp8","Texas Steakout","4.5","2783","2","116 O'Connell St, Prior's-Land, Limerick","+353 61 410 350","52.6627448","-8.6280941","OPERATIONAL"
"ChIJQQjdl2RbW0gRhQvrwRdbuuo","The Hungry Lyons Dooradoyle","3.8","734","2","St Nessan's Rd, Gouldavoher, Limerick","+353 61 306 111","52.63690680000001","-8.6548765","OPERATIONAL"
"ChIJgVVgIGRcW0gRrRIiMkFceuA","Marco Polo","4.4","1840","2","38 O'Connell St, Prior's-Land, Limerick","+353 61 412 888","52.6620438","-8.6283779","OPERATIONAL"
"ChIJNw_eIjlfW0gR7-IgZy2Ejz8","Locke Burger Castletroy","4.5","438","2","1 University Ct, Newcastle, Limerick","+353 61 332 767","52.6676128","-8.5702801","OPERATIONAL"
"ChIJ0bIFOelFW0gRewka_krlAyY","Roosters Piri Piri","4.7","96",,"Ballybrown, Clarina","+353 61 587 115","52.6321062","-8.7306218","OPERATIONAL"
"ChIJSZCuS2FcW0gRlwWRxqDkfOI","House Limerick","4.4","1836","2","Howley's Quay, Prior's-Land, Limerick","+353 61 513 282","52.663018","-8.630889","OPERATIONAL"
"ChIJG_AOZ2NcW0gRi3te-Gz6j6I","No. 1 Pery Square Hotel & Spa","4.7","762",,"Georgian Quarter, 1 Pery Square, Prior's-Land, Limerick","+353 61 402 402","52.6581572","-8.6300706","OPERATIONAL"
"ChIJZXo8KpOeXEgR9xXlJGzreEU","Flanagan's on the Lake","4.3","1388","2","Ballina Quay, Cullenagh, Ballina","+353 61 622 790","52.8094488","-8.4397115","OPERATIONAL"
