"place_id","name","rating","review_count","price_level","address","phone_number","latitude","longitude","business_status"
"ChIJhYCt9hHFQkgR4yESNOpmY_g","La Vida Loca","4.9","240",,"Tramore Rd, Coolgower, Waterford","+353 83 305 2216","52.2056883","-7.1169179","OPERATIONAL"
"ChIJpxCkhrvHQkgRTpeChLJnl3M","Changarro","4.7","85",,"17 John St, Waterford","+353 51 317 546","52.2576705","-7.1117444","OPERATIONAL"
"ChIJeTid3Z7GQkgRnKVRWUDeFaM","Amigo","4.5","419","1","12 John St, Waterford","+353 89 958 2443","52.2578957","-7.1118193","OPERATIONAL"
"ChIJv9T7N0_HQkgRp3VnVayhEoY","Chingon Badass Burritos & More...","4.2","98",,"39 O'Connell St, Trinity Without, Waterford","+353 85 251 3732","52.2622536","-7.1148072","OPERATIONAL"
"ChIJ8W_rQ5bHQkgRh1scWa9TgTA","Zambrero Ardkeen","4.6","74",,"Unit 40A, Ardkeen Shopping Centre, Ardkeen, Waterford","+353 51 843 336","52.2470453","-7.0830122","OPERATIONAL"
"ChIJq2I9o9rDQkgRAKHdu8pHGFs","Poquito","4.9","41",,"3 Broad St, Tramore West, Tramore","+353 87 902 3606","52.16132409999999","-7.1515648","OPERATIONAL"
"ChIJZTid3Z7GQkgRkth6VJTGEgo","Amigo Tex-Mex","5","1",,"42 John St, Waterford",,"52.2571516","-7.1111618","OPERATIONAL"
"ChIJB7wc_QXHQkgRLDUEkQK343c","Phoenix Yard Market","4.7","78",,"39 O'Connell St, Trinity Without, Waterford","+353 85 180 0755","52.2622455","-7.114920799999999","OPERATIONAL"
"ChIJFYjbNETDQkgR4v_UV3IU7Lg","Unbeetable Food","4.9","112",,"Pickardstown service station, Pickardstown, Tramore","+353 83 406 1822","52.175835","-7.138004599999999","OPERATIONAL"
"ChIJ9UQqwpvGQkgRkBBG8TVXq0U","Emiliano's Restaurant","4.8","1293","2","21 High St, Waterford","+353 51 820 333","52.2604777","-7.108397","OPERATIONAL"
"ChIJU_oyhVfbQkgRZh9UgED9YKs","The Sweep Bar","4.6","897","2","Adamstown, Kilmeaden","+353 51 384 395","52.2273728","-7.231715299999999","OPERATIONAL"
"ChIJaTX1vWPCQkgRT_jp9Wktfq0","Brooklyn Restaurant Tramore","4.4","1054","2","1,2,3, The Pavilion, The Prom, Tramore West, Tramore","+353 51 393 383","52.1595502","-7.1413251","OPERATIONAL"
"ChIJwS7BV5zGQkgRP7Ks_wMplD0","Bell Pepper","4.5","509",,"36-37 Great George's St, Trinity Without, Waterford","+353 51 332 200","52.2618009","-7.1134277","OPERATIONAL"
"ChIJHfpBpVfHQkgRTb9i8KEFS8k","Bun Cha Journey","4.9","535","1","20 Michael St, Waterford","+353 87 386 1084","52.25872159999999","-7.1119003","OPERATIONAL"
"ChIJA3tfDnjfQkgR3BBJMzg23GA","Power's Takeaway","4.4","60",,"Sleveen, Kill","+353 51 292 649","52.1763013","-7.3355436","OPERATIONAL"
