Name	City	Rating	Reviews	Address	PhoneNumber
La Taqueria Castle Street	Belfast	4.59999990463257	703	53 Castle St, Belfast	+44 7748 786654
El Habanero	Belfast	5	21	May St, Belfast	
Tortilla Belfast	Belfast	4.59999990463257	1052	9 Arthur Square, Belfast	+44 28 9002 3837
Taquitos	Belfast	4.80000019073486	402	Donegall Quay, Belfast, Antrim	+44 7496 351614
Urban Fire	Belfast	4.59999990463257	341	Dunmurry Dairyfarm shopping centre, Belfast	+44 28 9049 0874
Common Market	Belfast	4.30000019073486	988	Common Market, 16-20 Dunbar St, Belfast	
La Taqueria Ormeau	Belfast	4.40000009536743	564	274, 276 Ormeau Rd, Ormeau, Belfast	+44 28 9064 4477
Boojum - Great Victoria Street	Belfast	4.40000009536743	1515	14-16 Great Victoria St, Belfast	+44 28 9023 3200
Boojum - Botanic Avenue	Belfast	4.40000009536743	2326	67-69 Botanic Ave, Belfast	+44 28 9031 5334
Boojum - Victoria Square	Belfast	4.30000019073486	1007	4 Victoria Square, Belfast	+44 28 9033 2299
Med-Mex	Belfast	5	23	49/81 Oxford St, Belfast	+44 7876 111234
Bad Boyz Burritos	Belfast	4.40000009536743	100	79 Glen Rd, Andersonstown, Belfast	+44 28 9013 9449
Stereo	Belfast	4.69999980926514	221	18 Cregagh Rd, Belfast	
Boojum - Lisburn Road	Belfast	4.40000009536743	1244	509-511 Lisburn Rd, Belfast	+44 28 9029 0969
Bootleggers	Belfast	4.40000009536743	2717	46 Church Ln, Belfast	+44 28 9023 3282
the pocket	Belfast	4.59999990463257	1291	68 Upper Church Ln, Belfast	
The Burrito Bar	Belfast	4.5	195	118 Andersonstown Rd, Belfast	+44 28 9030 1257
West Gourmet Sandwiches	Belfast	4.80000019073486	192	City Business Park, Unit 41 North, Duncairn Gardens, Belfast	+44 28 9543 5816
Little Mexican Deli	Belfast	4.59999990463257	352	Dairyfarm Shopping Centre, Belfast	+44 28 9060 3012
Bebe Adrianos Mexicanos	Belfast	4.30000019073486	240	9-11 High St, Bangor	+44 28 9147 9988
Munch Belfast	Belfast	4.30000019073486	382	19-21 Church Ln, Belfast	+44 28 9032 5560
Jersey Street Grill	Belfast	4.40000009536743	1369	6 Lisburn Leisure Park, Lisburn	+44 28 9267 2748
Sicarios	Belfast	2.79999995231628	33	Common market, Belfast	
Pica	Belfast	4.5	82	45 Belmont Rd, Belfast	+44 7985 530055
Banbha	Belfast	4.59999990463257	241	170 Andersonstown Rd, Belfast	+44 28 9060 3733
Pie Eyed	Belfast	4.80000019073486	16	16 Dunbar St, Belfast	+44 7899 155947
Peperi.co	Belfast	2.5	27	353 Lisburn Rd, Belfast	+44 28 9000 7975
Haptik	Belfast	4.80000019073486	700	29 Frances St, Newtownards	+44 28 9182 1039
The Burger Club	Belfast	4.5	392	164 Cliftonville Rd, Belfast	+44 28 9013 0376
Bright's Restaurant	Belfast	4.5	1290	23-25 High St, Belfast	+44 28 9024 5688
Pottingers Cafe Belfast	Belfast	4.19999980926514	294	7 Pottinger's Entry, Belfast	+44 28 9023 5986
Pizza Punks Belfast	Belfast	4.19999980926514	2316	20-22 Waring St, Belfast	+44 28 9031 4110
No 14 at The Georgian House	Belfast	4.59999990463257	281	14 The Sq, Comber, Newtownards	+44 28 9131 1106
Sozo	Belfast	4.40000009536743	1019	671 Shore Rd, Newtownabbey	+44 28 9085 9090
Flout!	Belfast	4.69999980926514	381	Unit D5, 310 Newtownards Rd, Belfast	
Hendrix Restaurant| Belfast	Belfast	4.80000019073486	247	92 Stranmillis Rd, Belfast	+44 28 9002 4400
Town Square	Belfast	4.40000009536743	1373	45 Botanic Ave, Belfast	
Urban Scullery	Belfast	4.90000009536743	134	1-3 Lower Garfield St, Belfast	
Revolución de Cuba Belfast	Belfast	4.30000019073486	5009	25-39 Arthur St, Belfast	+44 28 9590 9249
Seed	Belfast	4.40000009536743	156	613 Lisburn Rd, Belfast	+44 28 9066 3550
Waterman House	Belfast	4.80000019073486	58	5-23 Hill St, Belfast	+44 28 9043 4310
Soul Food Cafe	Belfast	4.40000009536743	332	395 Ormeau Rd, Ormeau, Belfast	+44 28 9064 6464
The Spaniard	Belfast	4.5	1548	3 Skipper St, Belfast	+44 28 9023 2448
Platito by Mangan	Belfast	4.90000009536743	133	229 Castlereagh Rd, Belfast	+44 7944 428373
Pablos	Belfast	4.19999980926514	415	22 Church Ln, Belfast	+44 7594 475299
Pepe's	Belfast	3.59999990463257	215	75 Botanic Ave, Belfast	+44 28 9458 0444
Madame Pho	Belfast	4.59999990463257	699	17 Botanic Ave, Belfast	+44 28 9023 2823
Mr Snak	Belfast	4.90000009536743	29	62 Woodvale Rd, Belfast	+44 7490 371323
Stran-wiches	Belfast	4.40000009536743	144	153 Stranmillis Rd, Belfast	
El Keto Burrito	Belfast	3.70000004768372	3	1-25 Bridge St, Bangor	
McKees Farm Shop	Belfast	4.59999990463257	1470	Strangford View, 28 Holywood Rd, Newtownards	+44 28 9182 1304
Belfast Empire Music Hall	Belfast	4.5	2441	42 Botanic Ave, Belfast	+44 28 9024 9276
39 Gordon Street	Belfast	4.19999980926514	502	39 Gordon St, Belfast	+44 28 9031 2807
Ryan's Bar & Restaurant	Belfast	4.5	2002	116-118 Lisburn Rd, Belfast	+44 28 9050 9850
Madisons Sandwich Co	Belfast	4.19999980926514	115	39A Holywood Rd, Belfast	+44 28 9047 1330
BaoBun Botanic	Belfast	4.40000009536743	518	48 Botanic Ave, Belfast	+44 28 9032 9686
