name,city,rating,review_count,address,phone,url
La Azteca Tortilleria,Los Angeles,4.4,1949,"4538 E Cesar E Chavez Ave Los Angeles, CA 90022",+13232625977,https://www.yelp.com/biz/la-azteca-tortilleria-los-angeles?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
WAKE AND LATE,Los Angeles,4.2,1556,"105 East 6th St Los Angeles, CA 90014",+12135370820,https://www.yelp.com/biz/wake-and-late-los-angeles-5?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Tacos Villa Corona,Los Angeles,3.9,817,"3185 Glendale Blvd Los Angeles, CA 90039",+13236613458,https://www.yelp.com/biz/tacos-villa-corona-los-angeles?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Sonoratown,Los Angeles,4.4,2024,"208 E 8th St Los Angeles, CA 90014",+12132225071,https://www.yelp.com/biz/sonoratown-los-angeles?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Lupe's Burritos,Los Angeles,4.0,806,"4642 E 3rd St Los Angeles, CA 90022",+13232666881,https://www.yelp.com/biz/lupes-burritos-los-angeles?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Sonoritas Prime Tacos,Los Angeles,4.1,1946,"2004 Sawtelle Blvd Los Angeles, CA 90025",+13104449100,https://www.yelp.com/biz/sonoritas-prime-tacos-los-angeles?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Tacos Guelaguetza,Los Angeles,4.8,163,"5848 Melrose Ave Los Angeles, CA 90038",+13239846383,https://www.yelp.com/biz/tacos-guelaguetza-los-angeles?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Leo's Tacos Truck,Los Angeles,4.3,2404,"1515 S La Brea Ave Los Angeles, CA 90019",+13233462001,https://www.yelp.com/biz/leos-tacos-truck-los-angeles-11?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Brothers Cousins Tacos,Los Angeles,4.6,594,"11341 National Blvd Los Angeles, CA 90064",,https://www.yelp.com/biz/brothers-cousins-tacos-los-angeles?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Sonoratown,Los Angeles,4.3,294,"5610 San Vicente Blvd Los Angeles, CA 90019",+12132225071,https://www.yelp.com/biz/sonoratown-los-angeles-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Tacos El Venado,Los Angeles,4.5,55,"605 S Vermont Ave Los Angeles, CA 90005",,https://www.yelp.com/biz/tacos-el-venado-los-angeles-13?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Burritos Sahuayo,Los Angeles,4.7,40,"1ST And Western Ave Los Angeles, CA 90189",+13238073336,https://www.yelp.com/biz/burritos-sahuayo-los-angeles?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
The Boss Burritos,Los Angeles,4.8,141,"2142 E Anaheim St Long Beach, CA 90804",+15623424073,https://www.yelp.com/biz/the-boss-burritos-long-beach-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Burritos La Palma,Los Angeles,4.5,50,"5200 Monte Vista St Los Angeles, CA 90042",+13237405624,https://www.yelp.com/biz/burritos-la-palma-los-angeles-4?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Benny's Tacos & Rotisserie Chicken,Los Angeles,4.5,3471,"7101 W Manchester Ave Los Angeles, CA 90045",+13106708226,https://www.yelp.com/biz/bennys-tacos-and-rotisserie-chicken-los-angeles?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Somos Oaxaca,Los Angeles,4.7,164,"3224 Venice Blvd Los Angeles, CA 90019",+13239980339,https://www.yelp.com/biz/somos-oaxaca-los-angeles?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Saby's Breakfast Burritos,Los Angeles,4.5,8,"8600 W Pico Blvd Los Angeles, CA 90035",+14243219192,https://www.yelp.com/biz/sabys-breakfast-burritos-los-angeles?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Provecho Calimex,Los Angeles,5.0,44,"3987 Sawtelle Blvd Los Angeles, CA 90066",+13108787336,https://www.yelp.com/biz/provecho-calimex-los-angeles?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
K Pasa Taqueria,Los Angeles,4.7,77,"3958 West 6th St Los Angeles, CA 90020",+13233336527,https://www.yelp.com/biz/k-pasa-taqueria-los-angeles?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Tacos 1986,Los Angeles,3.9,308,"7235 Beverly Blvd Los Angeles, CA 90036",+13235158818,https://www.yelp.com/biz/tacos-1986-los-angeles-3?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Tlayuda L.A. Restaurant,Los Angeles,4.6,907,"5450 Santa Monica Blvd Los Angeles, CA 90029",+12137009286,https://www.yelp.com/biz/tlayuda-l-a-restaurant-los-angeles-6?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Taqueria Los Anaya,Los Angeles,4.4,1559,"4651 W Adams Blvd Los Angeles, CA 90016",+13237314070,https://www.yelp.com/biz/taqueria-los-anaya-los-angeles?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Los Chingones,Los Angeles,4.5,90,"1365 S Dacotah St Los Angeles, CA 90023",+12136103688,https://www.yelp.com/biz/los-chingones-los-angeles?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Tere's Mexican Grill,Los Angeles,4.2,663,"5870 Melrose Ave Ste 101 Los Angeles, CA 90038",+13234689345,https://www.yelp.com/biz/teres-mexican-grill-los-angeles?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Sonoritas Prime Tacos,Los Angeles,3.9,348,"1050 S Flower St Los Angeles, CA 90015",+12132751826,https://www.yelp.com/biz/sonoritas-prime-tacos-los-angeles-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Burrito Bomba,Los Angeles,4.1,546,"1360 E Colorado Blvd Unit A Glendale, CA 91205",+18184845547,https://www.yelp.com/biz/burrito-bomba-glendale?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
El Chato Taco Truck,Los Angeles,4.5,1446,"5300 W Olympic Blvd Los Angeles, CA 90019",+16262899780,https://www.yelp.com/biz/el-chato-taco-truck-los-angeles-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Carnitas Michoacan,Los Angeles,3.8,1525,"1901 N Broadway Los Angeles, CA 90031",+13232252729,https://www.yelp.com/biz/carnitas-michoacan-los-angeles-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
Papi Tacos & Churros,Los Angeles,4.4,442,"1320 Vine St Los Angeles, CA 90028",+13235369800,https://www.yelp.com/biz/papi-tacos-and-churros-los-angeles-2?adjust_creative=kB3jQpdiKc9lL6CIZgA-eA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=kB3jQpdiKc9lL6CIZgA-eA
